Prompt_ID,AI_Role,Task,Context,Constraint,Output_Format,Goal,Recommended_AI,Generated_Prompt,Timestamp
PW00014,Business Analyst,Requirement Gathering,General Professional Scenario,Return valid JSON,HTML,Assignment Submission,ChatGPT,"You are an Business Analyst.

Task:
Requirement Gathering

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
HTML

Goal:
Assignment Submission",2026-07-04 21:56:19
PW00015,Data Analyst,Interpret KPIs,General Professional Scenario,Provide real-world examples,Executive Summary,Automation,ChatGPT,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
Executive Summary

Goal:
Automation",2026-07-04 21:56:19
PW00016,Data Analyst,Generate Dashboard,General Professional Scenario,Use Java only,CSV,Presentation Preparation,Gamma,"You are an Data Analyst.

Task:
Generate Dashboard

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
CSV

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00017,Business Analyst,Market Analysis,General Professional Scenario,Use Java only,Executive Summary,Portfolio Development,ChatGPT,"You are an Business Analyst.

Task:
Market Analysis

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
Executive Summary

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00018,Data Analyst,Create Visualizations,General Professional Scenario,Follow industry standards,Executive Summary,Portfolio Development,ChatGPT,"You are an Data Analyst.

Task:
Create Visualizations

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
Executive Summary

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00019,Expert Data Scientist,Predict Outcomes,Medical diagnosis prediction,Include visualization suggestions,Executive Summary,Automation,ChatGPT,"You are an Expert Data Scientist.

Task:
Predict Outcomes

Context:
Medical diagnosis prediction

Constraints:
Include visualization suggestions

Output Format:
Executive Summary

Goal:
Automation",2026-07-04 21:56:19
PW00020,Business Analyst,Process Optimization,General Professional Scenario,Return the output in Markdown,Executive Summary,Presentation Preparation,Gamma,"You are an Business Analyst.

Task:
Process Optimization

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Executive Summary

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00021,Business Analyst,Risk Analysis,General Professional Scenario,Use Java only,CSV,Academic Research,Perplexity,"You are an Business Analyst.

Task:
Risk Analysis

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
CSV

Goal:
Academic Research",2026-07-04 21:56:19
PW00022,Cybersecurity Specialist,Compliance Review,General Professional Scenario,Optimize for readability,Table,Decision Making,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Compliance Review

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
Table

Goal:
Decision Making",2026-07-04 21:56:19
PW00023,Cybersecurity Specialist,Security Assessment,General Professional Scenario,Focus on practical implementation,Markdown,Automation,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Security Assessment

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
Markdown

Goal:
Automation",2026-07-04 21:56:19
PW00024,Senior Software Engineer,Refactor Code,General Professional Scenario,Provide real-world examples,CSV,Solve a Business Problem,ChatGPT,"You are an Senior Software Engineer.

Task:
Refactor Code

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
CSV

Goal:
Solve a Business Problem",2026-07-04 21:56:19
PW00025,Data Analyst,Create Visualizations,General Professional Scenario,Include visualization suggestions,Markdown,Automation,ChatGPT,"You are an Data Analyst.

Task:
Create Visualizations

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
Markdown

Goal:
Automation",2026-07-04 21:56:19
PW00026,Senior Software Engineer,Code Review,General Professional Scenario,Return valid JSON,Java Code,Portfolio Development,ChatGPT,"You are an Senior Software Engineer.

Task:
Code Review

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Java Code

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00027,Cloud Solutions Architect,Azure Architecture,General Professional Scenario,Do not use Deep Learning,Markdown,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Azure Architecture

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
Markdown

Goal:
Prepare for Interview",2026-07-04 21:56:19
PW00028,Data Analyst,SQL Analysis,General Professional Scenario,Use bullet points wherever possible,Technical Report,Automation,ChatGPT,"You are an Data Analyst.

Task:
SQL Analysis

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Technical Report

Goal:
Automation",2026-07-04 21:56:19
PW00029,Data Analyst,Interpret KPIs,General Professional Scenario,Use bullet points wherever possible,Java Code,Decision Making,ChatGPT,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Java Code

Goal:
Decision Making",2026-07-04 21:56:19
PW00030,Software Architect,System Optimization,General Professional Scenario,Return valid JSON,Technical Report,Learn a Concept,ChatGPT,"You are an Software Architect.

Task:
System Optimization

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Technical Report

Goal:
Learn a Concept",2026-07-04 21:56:19
PW00031,Senior Software Engineer,Implement Authentication,General Professional Scenario,Return valid JSON,JSON,Presentation Preparation,Gamma,"You are an Senior Software Engineer.

Task:
Implement Authentication

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
JSON

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00032,DevOps Engineer,Monitoring,General Professional Scenario,Use beginner-friendly language,Markdown,Portfolio Development,ChatGPT,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Markdown

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00033,Data Analyst,Generate Reports,General Professional Scenario,Use Scikit-learn,PowerPoint Outline,Prepare for Interview,ChatGPT,"You are an Data Analyst.

Task:
Generate Reports

Context:
General Professional Scenario

Constraints:
Use Scikit-learn

Output Format:
PowerPoint Outline

Goal:
Prepare for Interview",2026-07-04 21:56:19
PW00034,Senior Software Engineer,Code Review,General Professional Scenario,Include edge cases,CSV,Presentation Preparation,ChatGPT,"You are an Senior Software Engineer.

Task:
Code Review

Context:
General Professional Scenario

Constraints:
Include edge cases

Output Format:
CSV

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00035,Software Architect,System Optimization,General Professional Scenario,Include best practices,PowerPoint Outline,Build a Project,ChatGPT,"You are an Software Architect.

Task:
System Optimization

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
PowerPoint Outline

Goal:
Build a Project",2026-07-04 21:56:19
PW00036,Senior Machine Learning Engineer,Tune Hyperparameters,General Professional Scenario,Keep the response under 500 words,Technical Report,Automation,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Tune Hyperparameters

Context:
General Professional Scenario

Constraints:
Keep the response under 500 words

Output Format:
Technical Report

Goal:
Automation",2026-07-04 21:56:19
PW00037,Data Analyst,Data Cleaning,General Professional Scenario,Do not use Deep Learning,PowerPoint Outline,Portfolio Development,ChatGPT,"You are an Data Analyst.

Task:
Data Cleaning

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
PowerPoint Outline

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00038,Data Analyst,Interpret KPIs,General Professional Scenario,Return valid JSON,Markdown,Assignment Submission,ChatGPT,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Markdown

Goal:
Assignment Submission",2026-07-04 21:56:19
PW00039,Data Analyst,Interpret KPIs,General Professional Scenario,Use PyTorch,PowerPoint Outline,Portfolio Development,ChatGPT,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Use PyTorch

Output Format:
PowerPoint Outline

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00040,Data Analyst,Generate Dashboard,General Professional Scenario,Use beginner-friendly language,Python Code,Academic Research,Perplexity,"You are an Data Analyst.

Task:
Generate Dashboard

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:19
PW00041,Senior Machine Learning Engineer,Deploy ML Model,General Professional Scenario,Follow industry standards,Table,Portfolio Development,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Deploy ML Model

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
Table

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00042,Cybersecurity Specialist,Incident Response,General Professional Scenario,Return the output in Markdown,Bullet Points,Presentation Preparation,Gamma,"You are an Cybersecurity Specialist.

Task:
Incident Response

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Bullet Points

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00043,Expert Data Scientist,Predict Outcomes,Customer churn prediction,Keep the response under 500 words,Table,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Predict Outcomes

Context:
Customer churn prediction

Constraints:
Keep the response under 500 words

Output Format:
Table

Goal:
Solve a Business Problem",2026-07-04 21:56:19
PW00044,Software Architect,Design System Architecture,General Professional Scenario,Use bullet points wherever possible,Java Code,Assignment Submission,ChatGPT,"You are an Software Architect.

Task:
Design System Architecture

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Java Code

Goal:
Assignment Submission",2026-07-04 21:56:19
PW00045,Senior Software Engineer,Fix Bugs,General Professional Scenario,Use beginner-friendly language,Executive Summary,Presentation Preparation,Gamma,"You are an Senior Software Engineer.

Task:
Fix Bugs

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Executive Summary

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00046,Research Scientist,Compare Research Papers,General Professional Scenario,Provide code comments,Java Code,Portfolio Development,Claude,"You are an Research Scientist.

Task:
Compare Research Papers

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
Java Code

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00047,Expert Data Scientist,Feature Engineering,Insurance claim prediction,Use Scikit-learn,Executive Summary,Learn a Concept,ChatGPT,"You are an Expert Data Scientist.

Task:
Feature Engineering

Context:
Insurance claim prediction

Constraints:
Use Scikit-learn

Output Format:
Executive Summary

Goal:
Learn a Concept",2026-07-04 21:56:19
PW00048,Expert Data Scientist,Evaluate Model Performance,Cross-validation analysis,Include edge cases,Bullet Points,Academic Research,ChatGPT,"You are an Expert Data Scientist.

Task:
Evaluate Model Performance

Context:
Cross-validation analysis

Constraints:
Include edge cases

Output Format:
Bullet Points

Goal:
Academic Research",2026-07-04 21:56:19
PW00049,Business Analyst,SWOT Analysis,General Professional Scenario,Optimize for readability,JSON,Automation,ChatGPT,"You are an Business Analyst.

Task:
SWOT Analysis

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
JSON

Goal:
Automation",2026-07-04 21:56:19
PW00050,Business Analyst,Requirement Gathering,General Professional Scenario,Use Java only,Technical Report,Academic Research,Perplexity,"You are an Business Analyst.

Task:
Requirement Gathering

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
Technical Report

Goal:
Academic Research",2026-07-04 21:56:19
PW00051,Senior Machine Learning Engineer,Model Monitoring,General Professional Scenario,Provide code comments,PowerPoint Outline,Decision Making,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Model Monitoring

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
PowerPoint Outline

Goal:
Decision Making",2026-07-04 21:56:19
PW00052,Research Scientist,Experimental Design,General Professional Scenario,Avoid technical jargon,Technical Report,Learn a Concept,ChatGPT,"You are an Research Scientist.

Task:
Experimental Design

Context:
General Professional Scenario

Constraints:
Avoid technical jargon

Output Format:
Technical Report

Goal:
Learn a Concept",2026-07-04 21:56:19
PW00053,Cybersecurity Specialist,Vulnerability Analysis,General Professional Scenario,Use tables for comparison,JSON,Learn a Concept,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Vulnerability Analysis

Context:
General Professional Scenario

Constraints:
Use tables for comparison

Output Format:
JSON

Goal:
Learn a Concept",2026-07-04 21:56:19
PW00054,Cybersecurity Specialist,Incident Response,General Professional Scenario,Use beginner-friendly language,JSON,Build a Project,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Incident Response

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
JSON

Goal:
Build a Project",2026-07-04 21:56:19
PW00055,DevOps Engineer,Monitoring,General Professional Scenario,Use PyTorch,Table,Presentation Preparation,Gamma,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Use PyTorch

Output Format:
Table

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00056,Cloud Solutions Architect,Design Cloud Infrastructure,General Professional Scenario,Include best practices,Markdown,Solve a Business Problem,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Design Cloud Infrastructure

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
Markdown

Goal:
Solve a Business Problem",2026-07-04 21:56:19
PW00057,Senior Machine Learning Engineer,Optimize ML Model,General Professional Scenario,Use Java only,Java Code,Solve a Business Problem,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Optimize ML Model

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
Java Code

Goal:
Solve a Business Problem",2026-07-04 21:56:19
PW00058,Research Scientist,Compare Research Papers,General Professional Scenario,Return valid JSON,Python Code,Decision Making,Claude,"You are an Research Scientist.

Task:
Compare Research Papers

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Python Code

Goal:
Decision Making",2026-07-04 21:56:19
PW00059,DevOps Engineer,Monitoring,General Professional Scenario,Explain assumptions,Python Code,Portfolio Development,ChatGPT,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Explain assumptions

Output Format:
Python Code

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00060,Data Analyst,Interpret KPIs,General Professional Scenario,Use bullet points wherever possible,Markdown,Presentation Preparation,Gamma,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Markdown

Goal:
Presentation Preparation",2026-07-04 21:56:19
PW00061,Cybersecurity Specialist,Threat Modeling,General Professional Scenario,Optimize for readability,Bullet Points,Decision Making,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Threat Modeling

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
Bullet Points

Goal:
Decision Making",2026-07-04 21:56:19
PW00062,Business Analyst,Requirement Gathering,General Professional Scenario,Do not use Deep Learning,HTML,Solve a Business Problem,ChatGPT,"You are an Business Analyst.

Task:
Requirement Gathering

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
HTML

Goal:
Solve a Business Problem",2026-07-04 21:56:19
PW00063,Data Analyst,SQL Analysis,General Professional Scenario,Return valid JSON,Executive Summary,Prepare for Interview,ChatGPT,"You are an Data Analyst.

Task:
SQL Analysis

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Executive Summary

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00064,Expert Data Scientist,Hyperparameter Tuning,SVM optimization,Do not use Deep Learning,Markdown,Portfolio Development,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
SVM optimization

Constraints:
Do not use Deep Learning

Output Format:
Markdown

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00065,Data Analyst,Trend Analysis,General Professional Scenario,Provide evaluation metrics,Technical Report,Build a Project,ChatGPT,"You are an Data Analyst.

Task:
Trend Analysis

Context:
General Professional Scenario

Constraints:
Provide evaluation metrics

Output Format:
Technical Report

Goal:
Build a Project",2026-07-04 21:56:20
PW00066,Data Analyst,Generate Dashboard,General Professional Scenario,Provide real-world examples,Table,Portfolio Development,ChatGPT,"You are an Data Analyst.

Task:
Generate Dashboard

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
Table

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00067,Research Scientist,Research Methodology,General Professional Scenario,Focus on practical implementation,Executive Summary,Build a Project,Claude,"You are an Research Scientist.

Task:
Research Methodology

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
Executive Summary

Goal:
Build a Project",2026-07-04 21:56:20
PW00068,Business Analyst,Requirement Gathering,General Professional Scenario,Use Random Forest algorithm,Python Code,Academic Research,Perplexity,"You are an Business Analyst.

Task:
Requirement Gathering

Context:
General Professional Scenario

Constraints:
Use Random Forest algorithm

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:20
PW00069,Research Scientist,Research Proposal,General Professional Scenario,Use TensorFlow,HTML,Learn a Concept,Claude,"You are an Research Scientist.

Task:
Research Proposal

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
HTML

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00070,DevOps Engineer,Monitoring,General Professional Scenario,Use Java only,PowerPoint Outline,Prepare for Interview,ChatGPT,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
PowerPoint Outline

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00071,Business Analyst,Risk Analysis,General Professional Scenario,Include best practices,Executive Summary,Prepare for Interview,ChatGPT,"You are an Business Analyst.

Task:
Risk Analysis

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
Executive Summary

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00072,Cybersecurity Specialist,Vulnerability Analysis,General Professional Scenario,Use Python only,Java Code,Solve a Business Problem,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Vulnerability Analysis

Context:
General Professional Scenario

Constraints:
Use Python only

Output Format:
Java Code

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00073,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Include visualization suggestions,JSON,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
JSON

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00074,Cybersecurity Specialist,Incident Response,General Professional Scenario,Return the output in Markdown,Bullet Points,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Incident Response

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Bullet Points

Goal:
Academic Research",2026-07-04 21:56:20
PW00075,DevOps Engineer,CI/CD Pipeline,General Professional Scenario,Focus on practical implementation,PowerPoint Outline,Solve a Business Problem,ChatGPT,"You are an DevOps Engineer.

Task:
CI/CD Pipeline

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
PowerPoint Outline

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00076,Data Analyst,Interpret KPIs,General Professional Scenario,Optimize for readability,CSV,Decision Making,ChatGPT,"You are an Data Analyst.

Task:
Interpret KPIs

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
CSV

Goal:
Decision Making",2026-07-04 21:56:20
PW00077,Research Scientist,Literature Review,General Professional Scenario,Do not use Deep Learning,Bullet Points,Prepare for Interview,Claude,"You are an Research Scientist.

Task:
Literature Review

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
Bullet Points

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00078,Software Architect,Microservice Design,General Professional Scenario,Explain step-by-step,Executive Summary,Assignment Submission,ChatGPT,"You are an Software Architect.

Task:
Microservice Design

Context:
General Professional Scenario

Constraints:
Explain step-by-step

Output Format:
Executive Summary

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00079,Research Scientist,Research Proposal,General Professional Scenario,Return valid JSON,Bullet Points,Decision Making,Claude,"You are an Research Scientist.

Task:
Research Proposal

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Bullet Points

Goal:
Decision Making",2026-07-04 21:56:20
PW00080,Software Architect,API Design,General Professional Scenario,Provide code comments,JSON,Presentation Preparation,Gamma,"You are an Software Architect.

Task:
API Design

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
JSON

Goal:
Presentation Preparation",2026-07-04 21:56:20
PW00081,Data Analyst,SQL Analysis,General Professional Scenario,Explain assumptions,HTML,Build a Project,ChatGPT,"You are an Data Analyst.

Task:
SQL Analysis

Context:
General Professional Scenario

Constraints:
Explain assumptions

Output Format:
HTML

Goal:
Build a Project",2026-07-04 21:56:20
PW00082,Research Scientist,Scientific Writing,General Professional Scenario,Include visualization suggestions,PowerPoint Outline,Prepare for Interview,ChatGPT,"You are an Research Scientist.

Task:
Scientific Writing

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
PowerPoint Outline

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00083,DevOps Engineer,Performance Optimization,General Professional Scenario,Explain step-by-step,JSON,Prepare for Interview,ChatGPT,"You are an DevOps Engineer.

Task:
Performance Optimization

Context:
General Professional Scenario

Constraints:
Explain step-by-step

Output Format:
JSON

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00084,Software Architect,Microservice Design,General Professional Scenario,Use beginner-friendly language,Java Code,Assignment Submission,ChatGPT,"You are an Software Architect.

Task:
Microservice Design

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Java Code

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00085,Software Architect,Microservice Design,General Professional Scenario,Focus on practical implementation,JSON,Decision Making,ChatGPT,"You are an Software Architect.

Task:
Microservice Design

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
JSON

Goal:
Decision Making",2026-07-04 21:56:20
PW00086,DevOps Engineer,Kubernetes Deployment,General Professional Scenario,Use Python only,Technical Report,Solve a Business Problem,ChatGPT,"You are an DevOps Engineer.

Task:
Kubernetes Deployment

Context:
General Professional Scenario

Constraints:
Use Python only

Output Format:
Technical Report

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00087,Cybersecurity Specialist,Penetration Testing,General Professional Scenario,Do not use Deep Learning,Executive Summary,Prepare for Interview,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Penetration Testing

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
Executive Summary

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00088,Cloud Solutions Architect,Azure Architecture,General Professional Scenario,Use bullet points wherever possible,Java Code,Assignment Submission,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Azure Architecture

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Java Code

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00089,Research Scientist,Literature Review,General Professional Scenario,Use Java only,HTML,Prepare for Interview,Claude,"You are an Research Scientist.

Task:
Literature Review

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
HTML

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00090,Expert Data Scientist,Hyperparameter Tuning,SVM optimization,Use TensorFlow,Technical Report,Portfolio Development,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
SVM optimization

Constraints:
Use TensorFlow

Output Format:
Technical Report

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00091,Data Analyst,Analyze Business Data,General Professional Scenario,Use bullet points wherever possible,Java Code,Prepare for Interview,ChatGPT,"You are an Data Analyst.

Task:
Analyze Business Data

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Java Code

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00092,Expert Data Scientist,Analyze Dataset,Telecom customer dataset,Optimize for readability,Technical Report,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Analyze Dataset

Context:
Telecom customer dataset

Constraints:
Optimize for readability

Output Format:
Technical Report

Goal:
Solve a Business Problem",2026-07-04 21:56:20
